name,ra,dec,t_zero,period,width
104059_AD_CYCLE1807,321.89711671408,-8.3523967180667,2457868.3350810185,4.388323838631991,3.2246388888888893
104079_AD_CYCLE1807_DC,97.8986586569235,-66.0711245964447,2457292.381261574,7.67185832945625,2.929027777777778
104079_AD_CYCLE1807,97.8986586569235,-66.0711245964447,2457300.083113426,14.245445599307061,6.263194444444444
104102_AD_CYCLE1807_DC,300.847785088421,-9.20336998675859,2457875.4919444444,6.683485582485324,4.18325
104102_AD_CYCLE1807,300.847785088421,-9.20336998675859,2457882.421261574,15.562999131441899,4.536944444444444
104126_AD_CYCLE1807_DC,308.632288289268,-24.227275212493,2457504.44681713,6.583943405521979,4.700805555555556
104126_AD_CYCLE1807,308.632288289268,-24.227275212493,2457504.4475347223,6.58387932670772,4.700805555555556
104132_AD_CYCLE1807_DC,306.882776314504,-25.7668032665085,2457500.3235069443,2.8228906365614583,2.027505555555556
104132_AD_CYCLE1807,306.882776314504,-25.7668032665085,2457501.1586921294,1.519180972356597,7.522444444444444
104159_AD_CYCLE1802,331.50552631013,-28.7852141248989,2457867.4025231483,0.8539486687936494,4.764305555555556
104159_AD_CYCLE1807_DC,331.50552631013,-28.7852141248989,2457868.651122685,3.836253880653727,1.9925777777777778
104159_AD_CYCLE1807,331.50552631013,-28.7852141248989,2457867.403009259,0.8539500145040335,4.764305555555556
104163_AD_CYCLE1807_DC,307.072546290404,-21.095614695022,2457499.8274652776,4.094492665491504,1.9969305555555554
104163_AD_CYCLE1807,307.072546290404,-21.095614695022,2457499.827488426,4.094514945619098,1.9969305555555554
104167_AD_CYCLE1807_DC,306.414689790305,-20.3819077380798,2457500.8534953706,2.1834637613282175,1.6213972222222222
104175_AD_CYCLE1807_DC,307.382008501319,-20.7255465080542,2457504.654722222,5.460098394398693,3.0508055555555553
104204_AD_CYCLE1807_DC,323.264684510456,-30.3852474096769,2457868.890011574,3.3275823242182527,2.7349888888888887
104204_AD_CYCLE1807,323.264684510456,-30.3852474096769,2457868.890011574,3.327556652198854,2.7349888888888887
104249_AD_CYCLE1802,330.550720505676,-19.55984324505,2457867.2613657406,0.8647632736334572,8.058694444444443
104249_AD_CYCLE1807_DC,330.550720505676,-19.55984324505,2457868.9127199072,5.527500697921632,2.1946138888888886
104249_AD_CYCLE1807,330.550720505676,-19.55984324505,2457868.914201389,5.527590740391528,2.1946138888888886
104264_AD_CYCLE1807_DC,313.690070690419,-48.5983224919202,2457287.7255208334,2.2834472410527082,2.197786111111111
104264_AD_CYCLE1807,313.690070690419,-48.5983224919202,2457287.7255324074,2.2834589571851853,2.197786111111111
104351_AD_CYCLE1807_DC,79.0053718654278,-31.4127161816165,2457993.124363426,10.71683161774882,2.4756277777777775
104351_AD_CYCLE1807,79.0053718654278,-31.4127161816165,2457993.139548611,10.715520204520452,1.8145055555555556
104375_AD_CYCLE1807_DC,323.03497158829,-7.76658932220128,2457867.577939815,3.0648549337471183,5.182611111111112
104409_AD_CYCLE1802,142.607833869398,-20.0052296355428,2457670.647326389,0.9323852774010151,7.267694444444445
104409_AD_CYCLE1802_DC,142.607833869398,-20.0052296355428,2457670.469502315,0.8706203635829121,7.269972222222223
104409_AD_CYCLE1807_DC,142.607833869398,-20.0052296355428,2457683.683298611,15.070474305824536,1.8160027777777776
104409_AD_CYCLE1807,142.607833869398,-20.0052296355428,2457670.646539352,0.9323868296623623,7.267694444444445
104499_AD_CYCLE1807_DC,88.2827836641102,-33.3787451530696,2457609.369641204,4.508598066361747,1.8184277777777778
104564_AD_CYCLE1807_DC,91.1953675715004,-32.5797257182994,2457608.6752546295,1.5747099132626274,1.829236111111111
104564_AD_CYCLE1807,91.1953675715004,-32.5797257182994,2457608.927962963,1.4384745747323031,6.434916666666667
104605_AD_CYCLE1807,180.546215236882,-35.5483308372621,2458100.653935185,3.0513094978478934,3.2033611111111115
104605_AD_CYCLE1807_DC,180.546215236882,-35.5483308372621,2458100.6555439816,3.0512646231239584,3.2033611111111115
104663_AD_CYCLE1807,169.097684376539,-33.2788536364582,2458099.4699305557,2.334658682496528,5.158472222222223
104663_AD_CYCLE1807_DC,169.097684376539,-33.2788536364582,2458099.469733796,2.334741659698727,5.158472222222223
104665_AD_CYCLE1807,167.957493577632,-32.4006005922213,2458098.677372685,3.0416339798704164,5.194611111111111
104665_AD_CYCLE1807_DC,167.957493577632,-32.4006005922213,2458098.676990741,3.041644899306725,5.194611111111111
104666_AD_CYCLE1807,167.066167551323,-32.5650613021514,2458098.9274768517,3.403260281659005,2.7201472222222227
104666_AD_CYCLE1807_DC,167.066167551323,-32.5650613021514,2458098.9141898146,3.40363197592772,2.19455
104669_AD_CYCLE1807_DC,188.035230793856,-37.980837823365,2458104.865601852,4.593917720869225,1.9966222222222223
104669_AD_CYCLE1807,188.035230793856,-37.980837823365,2458104.8655324075,4.593922582733716,1.9966222222222223
104670_AD_CYCLE1807_DC,188.144841669656,-38.076132622665,2458105.0483217593,1.7818832545527201,1.7407833333333333
104695_AD_CYCLE1807,183.676067461771,-40.5072940615015,2458101.4617824075,6.718539865909247,1.8149555555555557
104695_AD_CYCLE1807_DC,183.676067461771,-40.5072940615015,2458101.46244213,6.718544087571631,1.753786111111111
