noi_id	lc_flag	tag	cat_prod_id	obj_id	ra_deg	dec_deg	epoch_sec	period_sec	width_sec
104752	AS	CYCLE1802_DC	5068203	043595	213.203876828706	-31.4194131820977	95222247	434650.942068591	30027.1
104752	AS	CYCLE1807_DC	5068203	043595	213.203876828706	-31.4194131820977	95308688	846911.858903582	6526.84
104752	AS	CYCLE1807	5068203	043595	213.203876828706	-31.4194131820977	94883248	78903.0651833896	28431.9
104770	AS	CYCLE1807	5226627	005050	169.546468786144	-29.8538860130066	124381715	57489.6671888207	6624.4
104770	AS	CYCLE1807_DC	5226627	005050	169.546468786144	-29.8538860130066	124421840	321516.222163187	11583.9
104776	AS	CYCLE1807	5226626	048357	168.451152330084	-34.8377042956356	124457251	153184.292934573	44911.5
104776	AS	CYCLE1807_DC	5226626	048357	168.451152330084	-34.8377042956356	124499429	153304.681850597	4521.75
104876	AS	CYCLE1807_DC	5068202	011591	215.02555658224	-24.4867370235889	63574932	60612.8873948523	6667.09
104876	AS	CYCLE1807	5068202	011591	215.02555658224	-24.4867370235889	NULL	NULL	NULL
104909	AS	CYCLE1807	5226635	037245	183.974123256772	-39.6497672263009	124411834	57502.3875174662	9701.68
104909	AS	CYCLE1807_DC	5226635	037245	183.974123256772	-39.6497672263009	124649789	536163.131455127	14318.7
104915	AS	CYCLE1802	5068196	016873	183.243634525039	-35.8703845019119	NULL	NULL	NULL
104915	AS	CYCLE1802_DC	5068196	016873	183.243634525039	-35.8703845019119	60896414	758135.892981929	7181.93
104915	AS	CYCLE1807_DC	5068196	016873	183.243634525039	-35.8703845019119	60353767	107361.04516701	7859.86
104915	AS	CYCLE1807	5068196	016873	183.243634525039	-35.8703845019119	60309820	92676.9291657238	19953.3
104919	AS	CYCLE1802	5068201	003956	210.862078169876	-32.4447338595433	NULL	NULL	NULL
104919	AS	CYCLE1802_DC	5068201	003956	210.862078169876	-32.4447338595433	NULL	NULL	NULL
104919	AS	CYCLE1807_DC	5068201	003956	210.862078169876	-32.4447338595433	94907288	478122.541066775	11864.4
104919	AS	CYCLE1807	5068201	003956	210.862078169876	-32.4447338595433	NULL	NULL	NULL
104944	AS	CYCLE1807_DC	5226638	055102	214.410211179535	-34.3242311644016	98104184	494081.163569921	13043.8
104944	AS	CYCLE1807	5226638	055102	214.410211179535	-34.3242311644016	NULL	NULL	NULL
105053	AS	CYCLE1807_DC	5068199	004911	206.2961103701	-32.5461246026776	72533663	277264.588697578	11539.9
105053	AS	CYCLE1807	5068199	004911	206.2961103701	-32.5461246026776	NULL	NULL	NULL
105094	AS	CYCLE1807_DC	5226636	029958	187.690128655852	-39.0731558263793	125121821	281893.482957961	9838.98
105094	AS	CYCLE1807	5226636	029958	187.690128655852	-39.0731558263793	124892578	57521.004423894	6628.59
105160	AS	CYCLE1802	5068207	014194	216.688748626273	-30.2378314368205	94974006	260407.098918448	9608.85
105160	AS	CYCLE1802_DC	5068207	014194	216.688748626273	-30.2378314368205	95628453	887064.274409996	15835.3
105160	AS	CYCLE1807_DC	5068207	014194	216.688748626273	-30.2378314368205	94917302	130732.299439475	11963.5
105160	AS	CYCLE1807	5068207	014194	216.688748626273	-30.2378314368205	94974135	260407.223649162	9608.85
105276	AS	CYCLE1807_DC	5068216	022098	307.857662875118	-19.143071932085	72710602	101586.54808339	11741.9
105276	AS	CYCLE1807	5068216	022098	307.857662875118	-19.143071932085	NULL	NULL	NULL
105387	AS	CYCLE1807_DC	5068209	020087	220.207047369639	4.39095402069054	64311198	158220.986282672	6489.47
105387	AS	CYCLE1807	5068209	020087	220.207047369639	4.39095402069054	64259240	57471.5456279183	8851.17
105435	AS	CYCLE1807_DC	5068222	023543	315.089139319248	-2.72555539866868	72891941	238781.809224219	13133.8
105435	AS	CYCLE1807	5068222	023543	315.089139319248	-2.72555539866868	NULL	NULL	NULL
105452	AS	CYCLE1807	5226631	009625	176.249971607431	-35.6405793721923	124403921	650479.106541991	23097.1
105452	AS	CYCLE1807_DC	5226631	009625	176.249971607431	-35.6405793721923	124404151	650469.394553546	23097.1
105495	AS	CYCLE1807	5226613	047542	304.184906233862	-40.1465439601089	133351225	57394.8505173054	11719.2
105495	AS	CYCLE1807_DC	5226613	047542	304.184906233862	-40.1465439601089	133595532	410808.885323229	10791.4
105640	AS	CYCLE1807_DC	5226638	080001	215.381709966321	-35.1588358847475	97816420	271902.817933504	14304
105640	AS	CYCLE1807	5226638	080001	215.381709966321	-35.1588358847475	97658689	104195.576108263	36834.3
105701	AS	CYCLE1807	5226615	046223	308.761488147608	-37.4329029726737	133061346	166822.916886922	9767.54
105701	AS	CYCLE1807_DC	5226615	046223	308.761488147608	-37.4329029726737	133061422	166826.756002853	9767.54
105717	AS	CYCLE1807	5226632	035508	179.676527249865	-34.2416234414848	124470910	129243.699762895	6516.01
105717	AS	CYCLE1807_DC	5226632	035508	179.676527249865	-34.2416234414848	124423001	211364.691919653	6557.67
